COMMENTS,Label
காணாமல் போன துண்டுகளுடன் பொருள் வந்தது.,negative
டெலிவரி சேவை கண்காணிப்பு தகவலை வழங்கவில்லை.,negative
கப்பலின் போது பொருள் சேதமடைந்தது.,negative
வசதியற்ற நேரத்தில் டெலிவரி செய்யப்பட்டது.,negative
உருப்படியானது விளம்பரப்படுத்தப்பட்டதை விட வேறுபட்ட வடிவமைப்பு அல்லது வடிவத்துடன் வந்தது.,negative
தொகுப்பு தவறான நகரம் அல்லது மாநிலத்திற்கு டெலிவரி செய்யப்பட்டது.,negative
பொருள் நல்ல நிலையில் வழங்கப்படவில்லை.,negative
"நான் ஆர்டர் செய்த குத்துச்சண்டை கையுறைகள் தான் நான் தேடிக்கொண்டிருந்தேன்.""",positive
தளத்தில் கிடைக்கும் விளையாட்டுப் பொருட்களின் தேர்வில் ஈர்க்கப்பட்டேன்.,positive
"மிகப் பெரிய விலை மற்றும் விரைவான ஷிப்பிங், மீண்டும் ஆர்டர் செய்யும்.",positive
நான் ஆர்டர் செய்த கால்பந்து கிளீட்ஸ் சரியான பொருத்தம் மற்றும் மிகவும் வசதியாக இருந்தது.,positive
தளத்தில் தேர்வு செய்ய பலவிதமான விளையாட்டு ஊட்டச்சத்து பொருட்கள் இருந்தன.,positive
நான் வாங்கியதில் மிகவும் திருப்தி,positive
"சிறந்த சேவை மற்றும் விரைவான டெலிவரி, எனது கடிகாரம் சரியான நிலையில் வந்தது.""",positive
நியாயமான விலையில் கடிகாரங்கள் மற்றும் பாகங்கள் சிறந்த தேர்வு.,positive
"நான் ஒரு புதிய வாட்ச் ஸ்ட்ராப் வாங்கியதில் மிகவும் திருப்தி அடைந்தேன், அது எனக்குத் தேவையானது.",positive
இணையதளத்தில் செல்ல எளிதானது மற்றும் தொந்தரவு இல்லாத செக்அவுட் செயல்முறை.,positive
வாடிக்கையாளர் சேவை மிகவும் பதிலளிக்கக்கூடியதாகவும் உதவிகரமாகவும் இருந்தது.,positive
தளத்தில் கிடைக்கும் பிராண்டுகள் மற்றும் பாணிகளின் வரம்பில் ஈர்க்கப்பட்டேன்.,positive
"நான் ஆர்டர் செய்த வாட்ச் நேரில் இன்னும் சிறப்பாக இருந்தது, நான் வாங்கியதில் மிகவும் மகிழ்ச்சி.",positive
தரமான கடிகாரங்கள் மற்றும் பாகங்கள் தேடும் எவருக்கும் இந்தத் தளத்தைப் பரிந்துரைக்கவும்.,positive
மற்ற ஆன்லைன் சில்லறை விற்பனையாளர்களுடன் ஒப்பிடும்போது விலைகள் மிகவும் போட்டித்தன்மையுடன் இருந்தன.,positive
எனது ஆர்டர் விரைவாக செயலாக்கப்பட்டது மற்றும் சரியான நேரத்தில் வந்தது.,positive
"ஆடம்பர கடிகாரங்கள் மீது சிறந்த ஒப்பந்தங்கள், நிச்சயமாக மீண்டும் இங்கிருந்து ஆர்டர் செய்யும்.",positive
நான் ஆர்டர் செய்த வாட்ச் பாக்ஸ் நன்றாக பேக் செய்யப்பட்டு சரியான நிலையில் வந்தது.,positive
தளத்தில் விண்டேஜ் வாட்ச்களின் தேர்வை விரும்புகிறேன்.,positive
"விரைவான மற்றும் எளிதான ஆர்டர் செயல்முறை, மற்றவர்களுக்கு பரிந்துரைக்கும்.",positive
"நான் ஒரு புதிய கடிகாரத்தை வாங்கியதில் மிகவும் மகிழ்ச்சி, அது எனது எதிர்பார்ப்புகளை மீறியது.",positive
நான் ஆர்டர் செய்த வாட்ச் ஸ்ட்ராப் உயர் தரம் மற்றும் அணிய மிகவும் வசதியாக இருந்தது.,positive
"சிறந்த வாடிக்கையாளர் சேவை மற்றும் விரைவான கப்பல் போக்குவரத்து, மீண்டும் ஆர்டர் செய்யும்.",positive
தளத்தில் தேர்வு செய்ய சிறந்த ஸ்மார்ட்வாட்ச்கள் உள்ளன.,positive
தளத்தில் வாட்ச் பாகங்கள் தேர்ந்தெடுக்கப்பட்டதில் ஈர்க்கப்பட்டேன்.,positive
சில நாட்களில் எனது கைக்கடிகாரம் வந்தது,positive
தனித்துவமான மற்றும் ஸ்டைலான கடிகாரங்களைத் தேடும் எவருக்கும் இந்தத் தளத்தைப் பரிந்துரைக்கவும்.,positive
விலைகள் மிகவும் நியாயமானவை மற்றும் கடிகாரங்களின் தரம் நன்றாக இருந்தது.,positive
"நான் ஆர்டர் செய்த வாட்ச் தான் நான் தேடிக்கொண்டிருந்தேன், நான் வாங்கியதில் மிகவும் மகிழ்ச்சியாக இருந்தது.",positive
வாடிக்கையாளர் சேவை குழு எனது கேள்விகளுக்கு பதிலளிக்க மிகவும் உதவியாக இருந்தது.,positive
தளத்தில் தேர்வு செய்ய பலவிதமான வாட்ச் பேண்டுகள் இருந்தன.,positive
மலிவு விலையில் ஆண்கள் கைக்கடிகாரங்களின் சிறந்த தேர்வு.,positive
"நான் ஒரு புதிய கடிகாரத்தை வாங்கியதில் மிகவும் திருப்தி அடைகிறேன், இது படத்தை விட நன்றாக இருக்கிறது.",positive
நான் ஆர்டர் செய்த வாட்ச் விண்டர் உயர் தரம் மற்றும் மிகவும் திறமையானது.,positive
இணையதளத்தில் செல்ல எளிதானது மற்றும் விரைவான செக்அவுட் செயல்முறை.,positive
தளத்தில் கிடைக்கும் வாட்ச் பிராண்டுகளின் வரம்பில் ஈர்க்கப்பட்டேன்.,positive
நான் ஆர்டர் செய்த கடிகாரம் சரியான நேரத்தில் மற்றும் சிறந்த நிலையில் வந்தது.,positive
தளத்தில் பெண்களுக்கான வாட்ச்கள் தேர்வு செய்ய நல்ல தேர்வு இருந்தது.,positive
நான் ஆர்டர் செய்த வாட்ச் கேஸ் எனது சேகரிப்பை ஒழுங்கமைக்கத் தேவையானது.,positive
நான் ஆர்டர் செய்த வாட்ச் ஸ்ட்ராப்பின் தரத்தில் மிகவும் மகிழ்ச்சி அடைகிறேன்.,positive
தளம் மலிவு விலையில் ஆடம்பர கடிகாரங்களின் சிறந்த தேர்வைக் கொண்டிருந்தது.,positive
வாடிக்கையாளர் சேவை குழு மிகவும் பதிலளிக்கக்கூடியது மற்றும் எனது ஆர்டரில் உள்ள சிக்கலைத் தீர்ப்பதில் உதவியாக இருந்தது.,positive
உயர்தர வாட்ச் ஆக்சஸரீஸ்களுக்கு அதிக விலை.,positive
"நான் ஆர்டர் செய்த கடிகாரம் மிகவும் ஸ்டைலாகவும், நன்றாகவும் இருந்தது.",positive
நியாயமான விலையில் உயர்தர கடிகாரங்களைத் தேடும் எவருக்கும் இந்தத் தளத்தைப் பரிந்துரைக்கவும்.,positive
"நான் ஒரு புதிய கடிகாரத்தை வாங்கியதில் மிகவும் திருப்தி அடைகிறேன், அது சரியாகப் பொருந்துகிறது மற்றும் அழகாக இருக்கிறது.",positive
தேர்வு செய்வதற்கான வாட்ச் விண்டர்களின் நல்ல தேர்வு தளத்தில் இருந்தது.,positive
நான் ஆர்டர் செய்த வாட்ச் ஸ்ட்ராப் விரைவாக அனுப்பப்பட்டது மற்றும் சரியான நிலையில் வந்தது.,positive
தளத்தில் நான் தேடுவதை எளிதாகக் கண்டுபிடிப்பது.,positive
வாடிக்கையாளர் சேவை குழு எனது கேள்விகளுக்கு பதிலளிப்பதில் மிகவும் அறிவு மற்றும் உதவியாக இருந்தது.,positive
தளத்தில் உள்ள வாட்ச் பாக்ஸ்கள் மற்றும் கேஸ்களின் தேர்வில் ஈர்க்கப்பட்டேன்.,positive
விலைகள் மிகவும் போட்டித்தன்மையுடன் இருந்தன மற்றும் தயாரிப்புகளின் தரம் சிறப்பாக இருந்தது.,positive
"டெலிவரி சரியான நேரத்தில் நடந்தது மற்றும் எனது மளிகைப் பொருட்கள் அனைத்தும் புதியதாகவும் நல்ல நிலையில் இருந்தன.""",positive
போட்டி விலையில் செல்லப்பிராணி தயாரிப்புகள் மற்றும் மளிகைப் பொருட்களின் சிறந்த தேர்வு.,positive
நான் பெற்ற புதிய தயாரிப்புகளின் தரத்தில் மிகவும் திருப்தி அடைகிறேன்.,positive
இணையதளத்தில் செல்ல எளிதானது மற்றும் தொந்தரவு இல்லாத செக்அவுட் செயல்முறை.,positive
வாடிக்கையாளர் சேவை மிகவும் பதிலளிக்கக்கூடியதாகவும் உதவிகரமாகவும் இருந்தது.,positive
தளத்தில் கிடைக்கும் பிராண்டுகள் மற்றும் தயாரிப்புகளின் வரம்பில் ஈர்க்கப்பட்டேன்.,positive
"நான் ஆர்டர் செய்த செல்லப்பிராணி உணவு எதிர்பார்த்ததை விட சிறப்பாக இருந்தது, நான் வாங்கியதில் மிகவும் மகிழ்ச்சி.",positive
தரமான மளிகைப் பொருட்கள் மற்றும் செல்லப் பிராணிகளுக்கான பொருட்களைத் தேடும் எவருக்கும் இந்தத் தளத்தைப் பரிந்துரைக்கவும்.,positive
மற்ற ஆன்லைன் சில்லறை விற்பனையாளர்களுடன் ஒப்பிடும்போது விலைகள் மிகவும் போட்டித்தன்மையுடன் இருந்தன.,positive
எனது ஆர்டர் விரைவாக செயலாக்கப்பட்டது மற்றும் சரியான நேரத்தில் வந்தது.,positive
மோசமாக வடிவமைக்கப்பட்ட இணையதளம் ஆர்டரை வைப்பதை கடினமாக்கியது.,negative
வாடிக்கையாளர் சேவை பதிலளிக்கவில்லை மற்றும் உதவவில்லை.,negative
தளத்தில் உள்ள பிரத்யேக உணவுப் பொருட்களைத் தேர்ந்தெடுப்பது பிடிக்கும்.,positive
"விரைவான மற்றும் எளிதான ஆர்டர் செயல்முறை, மற்றவர்களுக்கு பரிந்துரைக்கும்.",positive
"நான் புதிய இறைச்சியை வாங்கியதில் மிகவும் மகிழ்ச்சி, அது உயர்தரமாக இருந்தது.",positive
"நான் ஆர்டர் செய்த செல்லப் பிராணிகளின் பொம்மைகள் உயர் தரத்தில் இருந்தன, என் செல்லப்பிராணிகள் அவற்றை விரும்புகின்றன.",positive
சிறந்த வாடிக்கையாளர் சேவை மற்றும் விரைவான கப்பல் போக்குவரத்து,positive
தளம் தேர்வு செய்ய ஆரோக்கியம் மற்றும் ஆரோக்கிய தயாரிப்புகளின் சிறந்த தேர்வைக் கொண்டுள்ளது.,positive
"பயங்கர அனுபவம், ஆர்டர் வரவே இல்லை.",negative
உணவு குளிர்ச்சியாகவும் சாப்பிட முடியாததாகவும் வந்தது.,negative
"தவறான பொருள் வழங்கப்பட்டுள்ளது, அதை சரிசெய்ய எந்த முயற்சியும் எடுக்கவில்லை.",negative
டெலிவரிக்கு உறுதியளித்ததை விட ஒரு மணி நேரத்திற்கு மேல் ஆனது.,negative
பொருள் சேதமடைந்து பயன்படுத்த முடியாத நிலையில் வந்தது.,negative
வாடிக்கையாளர் சேவையிலிருந்து மோசமான தொடர்பு.,negative
"டெலிவரி டிரைவர் முரட்டுத்தனமாகவும், தொழில்முறையற்றவராகவும் இருந்தார்.",negative
"பணம் செலுத்தப்பட்டது, ஆனால் ஆர்டர் செயலாக்கப்படவில்லை.",negative
ஆர்டரில் பொருட்கள் இல்லை.,negative
"மோசமான தரமான தயாரிப்பு, பணத்திற்கு மதிப்பு இல்லை.",negative
வாடிக்கையாளர் சேவையை தொடர்பு கொள்ள பலமுறை முயற்சித்தும் அவர்களிடமிருந்து பதில் இல்லை.,negative
டெலிவரி டிரைவர் தொலைந்து போய் ஆர்டரை தாமதப்படுத்தினார்.,negative
தவறான பில்லிங் மற்றும் அதிக கட்டணம்.,negative
"மெதுவான மற்றும் பதிலளிக்காத இணையதளம், ஆர்டர் செய்வது கடினம்.",negative
மலிவு விலையில் மின்னணு உபகரணங்களின் சிறந்த தேர்வு.,positive
விரைவான மற்றும் எளிதான செக்அவுட் செயல்முறை.,positive
அதிவேக ஷிப்பிங் மற்றும் டெலிவரி.,positive
எனது எதிர்பார்ப்புகளை பூர்த்தி செய்யும் தரமான தயாரிப்புகள்.,positive
சிறந்த வாடிக்கையாளர் சேவை.,positive
துல்லியமான தயாரிப்பு விளக்கங்கள் மற்றும் படங்கள்.,positive
வசதியான மற்றும் எளிதான இணையதளத்தில் செல்லவும்.,positive
பாதுகாப்பான ஆன்லைன் கட்டண விருப்பங்கள்.,positive
தொந்தரவு இல்லாத வருமானம் மற்றும் பரிமாற்றங்கள்.,positive
தேர்வு செய்ய பல்வேறு வகையான பிராண்டுகள்.,positive
போட்டி விலை நிர்ணயம்.,positive
சரியான நேரத்தில் மற்றும் பயனுள்ள வாடிக்கையாளர் ஆதரவு.,positive
தயாரிப்பு சரியான நிலையில் வந்தது.,positive
நான் தேடுவதை விரைவாகவும் எளிதாகவும் கண்டுபிடிக்கலாம்.,positive
கப்பல் மற்றும் கையாளுதல் கட்டணம் நியாயமானதாக இருந்தது.,positive
இலவச ஷிப்பிங் விருப்பத்தை விரும்புகிறேன்.,positive
திறமையான ஆர்டர் செயலாக்கம்.,positive
உருப்படி அதன் காலாவதி தேதியை கடந்துவிட்டது.,negative
மோசமாக தொகுக்கப்பட்ட மற்றும் பொருட்கள் சேதமடைந்தன.,negative
தொடர்பு இல்லாத டெலிவரிக்கான வழிமுறைகளை டெலிவரி டிரைவர் பின்பற்றவில்லை.,negative
பெறப்பட்ட பொருட்கள் இணையதளத்தில் விவரிக்கப்பட்டுள்ளபடி இல்லை.,negative
இலவச ஷிப்பிங் என்று இணையதளம் விளம்பரம் செய்தது ஆனால் அதற்கு கட்டணம் வசூலிக்கப்பட்டது.,negative
"உறுதியளிக்கப்பட்ட போதிலும், உருப்படி ஒருபோதும் அனுப்பப்படவில்லை.",negative
அறிவிப்பு அல்லது விளக்கம் இல்லாமல் ஆர்டர் ரத்து செய்யப்பட்டது.,negative
வாடிக்கையாளர் சேவை பிரதிநிதி உதவவில்லை மற்றும் ஒத்துழைக்கவில்லை.,negative
"உருப்படி தாமதமாக வந்தது, இனி தேவையில்லை.",negative
தவறான அளவு பொருட்கள் வழங்கப்பட்டன.,negative
தயாரிப்பு தவறான சுவையைப் பெற்றது.,negative
"கட்டணம் நிராகரிக்கப்பட்டது, ஆனால் ஆர்டருக்காக இன்னும் கட்டணம் விதிக்கப்பட்டது.",negative
ஆர்டர் நிலை அல்லது ஷிப்பிங் புதுப்பிப்புகள் பற்றிய அறிவிப்பு இல்லை.,negative
"பொருட்கள் மோசமாக பேக் செய்யப்பட்டு, ஷிப்பிங்கின் போது சிந்தப்பட்டன.",negative
தயாரிப்பு இணையதளத்தில் படம் பிடித்தது போல் இல்லை.,negative
சேதமடைந்த மற்றும் பயன்படுத்த முடியாத தயாரிப்பு கிடைத்தது.,negative
டெலிவரி டிரைவர் பேக்கேஜை பாதுகாப்பற்ற இடத்தில் விட்டுவிட்டார்.,negative
பொருட்கள் சரியாக லேபிளிடப்படவில்லை மற்றும் அடையாளம் காண்பது கடினம்.,negative
பொருட்கள் பாதுகாப்பாக தொகுக்கப்படவில்லை மற்றும் உடைந்து வந்தது.,negative
ஷிப்பிங்கிற்கு தவறான முகவரி பயன்படுத்தப்பட்டது.,negative
சிறந்த சலுகைகள் மற்றும் தள்ளுபடிகள் வழங்கப்படுகின்றன.,positive
தயாரிப்பு சரியாக விவரிக்கப்பட்டது.,positive
பயனர் நட்பு இணையதளம்.,positive
விசாரணைகளுக்கு உடனடி பதில்.,positive
வாடிக்கையாளர் சேவை பிரதிநிதிகள் அறிவு மற்றும் உதவிகரமாக இருந்தனர்.,positive
எந்த பிரச்சனைக்கும் விரைவான தீர்வு.,positive
பாதுகாப்பான விநியோகத்திற்காக தயாரிப்பு நன்கு பேக்கேஜ் செய்யப்பட்டது.,positive
இணையதளம் மொபைலுக்கு ஏற்றது மற்றும் எனது மொபைலில் பயன்படுத்த எளிதானது.,positive
விரிவான தயாரிப்பு விவரக்குறிப்புகளைப் பாராட்டுங்கள்.,positive
தெளிவான மற்றும் சுருக்கமான தயாரிப்பு விளக்கங்கள்.,positive
பல்வேறு சாதனங்களுக்கான பாகங்கள் சிறந்த தேர்வு.,positive
எனது ஆர்டரைக் கண்காணிப்பது எளிது.,positive
தயாரிப்பு எதிர்பார்த்ததை விட முன்னதாகவே வந்தது.,positive
வாடிக்கையாளர் சேவையால் சிக்கலைத் தீர்க்க முடியவில்லை.,negative
டெலிவரி டிரைவர் மழையில் பொட்டலத்தை விட்டுச் சென்றதால் சேதம் ஏற்பட்டது.,negative
தயாரிப்பு எதிர்பார்த்ததை விட மிகவும் தாமதமாக வந்தது.,negative
ஆர்டருக்கான கண்காணிப்புத் தகவல் எதுவும் வழங்கப்படவில்லை.,negative
தேவையான பாகங்கள் அல்லது பாகங்கள் இல்லாமல் பொருள் வந்தது.,negative
"தயாரிப்பு புதியதாக விளம்பரப்படுத்தப்பட்டது, ஆனால் பயன்படுத்தப்பட்டது.",negative
மோசமான தரமான பேக்கேஜிங் தயாரிப்பு சேதத்தை விளைவித்தது.,negative
பெறப்பட்ட உருப்படி தயாரிப்பு விளக்கத்துடன் பொருந்தவில்லை.,negative
பலமுறை முயன்றும் ஆர்டரை ரத்து செய்ய முடியவில்லை.,negative
தயாரிப்பின் தவறான அளவு பெறப்பட்டது.,negative
டெலிவரி டிரைவரால் முகவரியைக் கண்டுபிடிக்க முடியவில்லை.,negative
விடுபட்ட கூறுகளுடன் உருப்படி வந்தது.,negative
தயாரிப்பு வந்தவுடன் செயல்படவில்லை.,negative
பொருளின் விலை அதிகமாக இருந்தது மற்றும் விலை மதிப்பு இல்லை.,negative
வீட்டிலிருந்து ஷாப்பிங் செய்யும் வசதியை விரும்புகிறேன்.,positive
உயர்தர தயாரிப்புகளுக்கு சிறந்த விலை.,positive
பரந்த அளவிலான கட்டண விருப்பங்கள் உள்ளன.,positive
எளிய மற்றும் தொந்தரவு இல்லாத வருமானம் செயல்முறை.,positive
பிற வாடிக்கையாளர்களிடமிருந்து தயாரிப்பு மதிப்புரைகளைப் பாராட்டுங்கள்.,positive
சர்வதேச தயாரிப்புகளின் சிறந்த தேர்வு.,positive
ஆர்டர் விரைவாகவும் திறமையாகவும் செயல்படுத்தப்பட்டது.,positive
ஷிப்பிங் புதுப்பிப்புகள் அடிக்கடி மற்றும் துல்லியமாக இருந்தன.,positive
முதல் முறையாக வாங்குபவர்களுக்கு கூட இணையதளம் செல்ல எளிதானது.,positive
ஷிப்பிங்கின் போது சேதம் ஏற்படாமல் இருக்க தயாரிப்புகள் பாதுகாப்பாக பேக் செய்யப்பட்டன.,positive
பணத்திற்கான சிறந்த மதிப்பு.,positive
எனது கொள்முதல் வரலாற்றின் அடிப்படையில் தனிப்பயனாக்கப்பட்ட பரிந்துரைகளைப் பெற்றேன்.,positive
பின்னர் வாங்குவதற்கு பொருட்களைச் சேமிப்பதற்கான விருப்பத்தைப் பாராட்டுங்கள்.,positive
திறமையான மற்றும் பயனுள்ள வாடிக்கையாளர் சேவை சாட்போட்.,positive
பயனர் நட்பு தேடல் செயல்பாடு.,positive
தேர்வு செய்ய பரந்த அளவிலான தயாரிப்பு வகைகள்.,positive
வாங்கும் விருப்பத்துடன் இலவச பரிசை விரும்புங்கள்.,positive
எதிர்பார்ப்புகளை மீறும் உயர்தர தயாரிப்புகள்.,positive
எளிய மற்றும் பயன்படுத்த எளிதான இடைமுகம்.,positive
உங்கள் அனைத்து மின்னணு துணை தேவைகளுக்கும் இந்த ஆன்லைன் ஸ்டோரை மிகவும் பரிந்துரைக்கிறோம்,positive
மோசமான பேக்கேஜிங் காரணமாக தயாரிப்பு சேதமடைந்தது.,negative
உதவிக்காக வாடிக்கையாளர் சேவையை அணுகுவது கடினம்.,negative
இணையதளத்தில் விவரிக்கப்பட்டுள்ளபடி தயாரிப்பு இல்லை.,negative
நீண்ட ஷிப்பிங் நேரங்கள் மற்றும் தாமதங்கள்.,negative
வாங்கிய பிறகு பொருள் இருப்பில் இல்லை.,negative
எதிர்பார்ப்புகளை பூர்த்தி செய்யாத மோசமான தரமான தயாரிப்பு.,negative
தயாரிப்பு சரியாக வேலை செய்யவில்லை அல்லது வாங்கியவுடன் வேலை செய்வதை நிறுத்தியது.,negative
"இணையதளம் குழப்பமானதாகவும், செல்லவும் கடினமாகவும் இருந்தது.",negative
ஷிப்பிங் மற்றும் கையாளுதல் கட்டணம் மிக அதிகமாக இருந்தது.,negative
திரும்பும் செயல்முறை சிக்கலானது மற்றும் நேரத்தை எடுத்துக்கொள்ளும்.,negative
விரைவான ஷிப்பிங்கிற்கு விருப்பம் இல்லை.,negative
ஷிப்பிங் புதுப்பிப்புகள் தொடர்பான மோசமான தகவல்தொடர்பு.,negative
தயாரிப்பு எனது சாதனத்தில் சரியாகப் பொருந்தவில்லை.,negative
மற்ற ஆன்லைன் ஸ்டோர்களுடன் ஒப்பிடும்போது விலை போட்டியாக இல்லை.,negative
வேகமான மற்றும் திறமையான விநியோக சேவை.,positive
தயாரிப்புகள் சரியான நிலையில் வந்தன.,positive
ஆன்லைனில் ஆர்டர் செய்வது விரைவானது மற்றும் எளிதானது.,positive
நம்பகமான மற்றும் நம்பகமான ஆன்லைன் ஸ்டோர்.,positive
ஷிப்பிங் புதுப்பிப்புகள் தொடர்பான சிறந்த தொடர்பு.,positive
துல்லியமான மதிப்பிடப்பட்ட விநியோக தேதிகள்.,positive
வசதியான மற்றும் தொந்தரவு இல்லாத விநியோக விருப்பங்கள்.,positive
இலவச ஷிப்பிங் விருப்பத்தை விரும்புகிறேன்.,positive
தயாரிப்புகள் எதிர்பார்த்ததை விட முன்னதாகவே வந்துசேர்ந்தன.,positive
டெலிவரி சேவை விரைவாகவும் திறமையாகவும் இருந்தது.,positive
எனது ஆர்டரைக் கண்காணிப்பதற்கான விருப்பத்தைப் பாராட்டுங்கள்.,positive
பாதுகாப்பான மற்றும் பாதுகாப்பான விநியோக செயல்முறை.,positive
நியாயமான காலக்கெடுவுக்குள் எனது ஆர்டரைப் பெற்றேன்.,positive
தெளிவான டெலிவரி தகவலுடன் இணையதளத்தைப் பயன்படுத்த எளிதானது.,positive
ஷிப்பிங்கின் போது சேதம் ஏற்படாமல் இருக்க தயாரிப்புகள் நன்கு பேக் செய்யப்பட்டன.,positive
இலவச ஷிப்பிங்கிற்கு விருப்பம் இல்லை.,negative
தவறான தயாரிப்பு அனுப்பப்பட்டது.,negative
கிடைக்கக்கூடிய தயாரிப்புகளின் வரையறுக்கப்பட்ட தேர்வு.,negative
உருப்படி எனது சாதனத்துடன் இணக்கமாக இல்லை.,negative
தயாரிப்பு எதிர்பார்த்ததை விட மிகவும் தாமதமாக வந்தது.,negative
தயாரிப்பு அதன் தரத்திற்காக அதிக விலை கொடுக்கப்பட்டது.,negative
கட்டண விருப்பங்கள் வரம்பிடப்பட்டன.,negative
தயாரிப்பு வழங்கப்படவில்லை.,negative
எனது ஆர்டருக்கான கண்காணிப்புத் தகவல் இல்லை.,negative
வாடிக்கையாளர் சேவை உதவியற்றதாகவும் முரட்டுத்தனமாகவும் இருந்தது.,negative
தயாரிப்புகளுக்கு வரையறுக்கப்பட்ட உத்தரவாதம் அல்லது உத்தரவாதம்.,negative
விசாரணைகள் அல்லது புகார்களுக்கு பதில் இல்லை.,negative
ஷிப்பிங்கிற்காக தயாரிப்பு பாதுகாப்பாக பேக் செய்யப்படவில்லை.,negative
இணையதளம் மொபைலுக்கு ஏற்றதாக இல்லை.,negative
குழப்பமான செக்அவுட் செயல்முறை.,negative
வரையறுக்கப்பட்ட கட்டண விருப்பங்கள்.,negative
தயாரிப்பு இணையதளத்தில் படம் பிடித்தது போல் இல்லை.,negative
எனது ஆர்டரை ரத்து செய்ய விருப்பம் இல்லை.,negative
நீட்டிக்கப்பட்ட உத்தரவாதத்தை வாங்க விருப்பம் இல்லை.,negative
தயாரிப்புகளுக்கு வரையறுக்கப்பட்ட வாடிக்கையாளர் மதிப்புரைகள் உள்ளன.,negative
நம்பகமான கப்பல் கேரியர்.,positive
எனது விருப்பமான டெலிவரி நேரத்தைத் தேர்ந்தெடுப்பதற்கான விருப்பத்தைப் பாராட்டுகிறேன்.,positive
மின்னணு சாதனங்களுக்கு இந்த ஆன்லைன் ஸ்டோரை மிகவும் பரிந்துரைக்கிறோம்.,positive
மின்னஞ்சல் அல்லது எஸ்எம்எஸ் மூலம் தனிப்பயனாக்கப்பட்ட டெலிவரி அறிவிப்புகள் பெறப்பட்டன.,positive
டெலிவரி வழிமுறைகளை வழங்குவதற்கான விருப்பத்தைப் பாராட்டுங்கள்.,positive
திறமையான மற்றும் சரியான நேரத்தில் விநியோக செயல்முறை.,positive
தேர்வு செய்ய டெலிவரி விருப்பங்களின் சிறந்த தேர்வு.,positive
விநியோக சேவை நட்பு மற்றும் தொழில்முறை இருந்தது.,positive
விநியோகச் செயல்பாட்டில் சிக்கல்கள் அல்லது சிக்கல்கள் இல்லை.,positive
தேவைப்பட்டால் டெலிவரியை மாற்றியமைப்பது அல்லது வழிமாற்றுவது எளிது.,positive
ஷிப்பிங்கிற்காக காப்பீடு வாங்க விருப்பம் இல்லை.,negative
தயாரிப்பு இணக்கத்தன்மை குறித்து வரையறுக்கப்பட்ட தகவல்கள் உள்ளன.,negative
விருப்பமான ஷிப்பிங் கேரியரை தேர்வு செய்ய விருப்பம் இல்லை.,negative
பரிசு மடக்குதலைக் கோர விருப்பம் இல்லை.,negative
தயாரிப்பு சரியான முகவரிக்கு வழங்கப்படவில்லை.,negative
தயாரிப்பு விவரக்குறிப்புகள் குறித்து வரையறுக்கப்பட்ட தகவல்கள் உள்ளன.,negative
எனது ஆர்டர் அனுப்பப்பட்டதும் அதைக் கண்காணிக்க விருப்பம் இல்லை.,negative
மோசமான தரமான வாடிக்கையாளர் சேவை சாட்போட்.,negative
இணையதளத்தில் தயாரிப்பு கருத்தை வெளியிட விருப்பம் இல்லை.,negative
முக்கிய தயாரிப்புடன் பாகங்கள் வாங்க விருப்பம் இல்லை.,negative
வாடிக்கையாளர் சேவை பிரதிநிதிகளின் வரம்பிற்குட்பட்ட இருப்பு.,negative
எனது விருப்பமான கட்டண முறையைத் தேர்வுசெய்ய விருப்பம் இல்லை.,negative
மொத்தமாக ஆர்டர் செய்யவோ அல்லது மொத்தமாக தள்ளுபடி பெறவோ விருப்பம் இல்லை.,negative
பிரபலமான தயாரிப்புகளுக்கான வரம்பிற்குட்பட்ட இருப்பு.,negative
சர்வதேச கப்பல் போக்குவரத்துக்கான வரையறுக்கப்பட்ட விருப்பங்கள்.,negative
நான் கொடுத்த விலைக்கு தயாரிப்பு மதிப்பு இல்லை.,negative
எனது ஆர்டருடன் டெலிவரி இலவசம்.,positive
எனது பணியிடத்திற்கு தயாரிப்புகளை வழங்குவதற்கான விருப்பத்தைப் பாராட்டுகிறேன்.,positive
அதே நாள் அல்லது அடுத்த நாள் டெலிவரிக்கான விருப்பத்தை விரும்புகிறேன்.,positive
உச்ச பருவங்களில் கூட விரைவான மற்றும் நம்பகமான டெலிவரி சேவை.,positive
வசதியான மற்றும் விரைவான விநியோக விருப்பங்களை விரும்புகிறேன்.,positive
"டெலிவரி சேவை நெகிழ்வானதாகவும், இடமளிக்கக்கூடியதாகவும் இருந்தது.",positive
தயாரிப்புகள் சரியான நேரத்தில் மற்றும் திறமையான முறையில் வழங்கப்பட்டன.,positive
பாதுகாப்பான இடத்தில் தயாரிப்புகளை வைத்திருக்கும் விருப்பத்தைப் பாராட்டுங்கள்.,positive
டெலிவரி சேவை உடனடியாகவும் மரியாதையுடனும் இருந்தது.,positive
தொடர்பு இல்லாத டெலிவரிக்கான விருப்பத்தை விரும்புகிறேன்.,positive
